"filename", "language", "Log", "XML", "JSON", "C#", "Python", "Markdown", "UnityUXML", "comment", "blank", "total"
"/Users/dazzle/Desktop/Unity Projects/Demo260220/.idea/.idea.Demo260220/.idea/MarsCodeWorkspaceAppSettings.xml", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/dazzle/Desktop/Unity Projects/Demo260220/.idea/.idea.Demo260220/.idea/indexLayout.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/dazzle/Desktop/Unity Projects/Demo260220/.trae/skills/framework-guardian/SKILL.md", "Markdown", 0, 0, 0, 0, 0, 199, 0, 0, 47, 246
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assembly-CSharp-Editor.csproj", "XML", 0, 1226, 0, 0, 0, 0, 0, 1, 1, 1228
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assembly-CSharp-firstpass.csproj", "XML", 0, 56, 0, 0, 0, 0, 0, 7, 1, 64
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assembly-CSharp.csproj", "XML", 0, 1163, 0, 0, 0, 0, 0, 1, 1, 1165
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assets/Game/Framework/Framework.asmdef", "JSON", 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assets/Game/Framework/Framework.cs", "C#", 0, 0, 0, 352, 0, 0, 0, 0, 100, 452
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assets/Game/Framework/GameArchitecture.cs", "C#", 0, 0, 0, 25, 0, 0, 0, 0, 2, 27
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assets/Game/Framework/GameRoot.cs", "C#", 0, 0, 0, 22, 0, 0, 0, 0, 5, 27
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assets/Game/Framework/GameSettings.cs", "C#", 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assets/Game/Framework/Modules/Config/ConfigSystem.cs", "C#", 0, 0, 0, 88, 0, 0, 0, 0, 22, 110
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assets/Game/Framework/Modules/Config/IConfigSheet.cs", "C#", 0, 0, 0, 35, 0, 0, 0, 0, 14, 49
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assets/Game/Framework/Modules/FSM/FSM.cs", "C#", 0, 0, 0, 70, 0, 0, 0, 0, 14, 84
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assets/Game/Framework/Modules/FSM/IState.cs", "C#", 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assets/Game/Framework/Modules/FSM/ITransitionCondition.cs", "C#", 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assets/Game/Framework/Modules/Http/HttpEvents.cs", "C#", 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assets/Game/Framework/Modules/Http/HttpSystem.cs", "C#", 0, 0, 0, 136, 0, 0, 0, 10, 33, 179
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assets/Game/Framework/Modules/Pool/IPool.cs", "C#", 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assets/Game/Framework/Modules/Pool/PoolBase.cs", "C#", 0, 0, 0, 37, 0, 0, 0, 0, 9, 46
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assets/Game/Framework/Modules/Pool/PoolSystem.cs", "C#", 0, 0, 0, 79, 0, 0, 0, 0, 10, 89
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assets/Game/Framework/Modules/Pool/SimpleObjectPool.cs", "C#", 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"/Users/dazzle/Desktop/Unity Projects/Demo260220/Assets/Game/Framework/Modules/Pool/Unity/GameObjectPool.cs", "C#", 0, 0, 0, 90, 0, 0, 0, 0, 17, 107
